USPS    GEOID   ANSICODE        NAME    POP10   HU10    ALAND   AWATER  ALAND_SQMI      AWATER_SQMI     INTPTLAT        INTPTLONG                                                                                                    
IA      19001   00465190        Adair County    7682    3698    1474404167      2597997      569.271           1.003     41.328528       -94.478164                                                                                            
IA      19003   00465191        Adams County    4029    2010    1096700733      5353423      423.439           2.067     41.021656       -94.696906                                                                                            
IA      19005   00465192        Allamakee County        14330   7617    1655214493      50995230             639.082          19.689     43.274964       -91.382751                                                                                      
IA      19007   00465193        Appanoose County        12887   6633    1287981483      49083877             497.292          18.951     40.744683       -92.870345                                                                                      
IA      19009   00465194        Audubon County  6119    2972    1147264459      1152260      442.961           0.445     41.679178       -94.904312                                                                                          
IA      19011   00465195        Benton County   26076   11095   1855117342      5760770      716.265           2.224     42.092547       -92.057630                                                                                         
IA      19013   00465196        Black Hawk County       131090  55887   1465333940      17900114             565.769           6.911     42.472888       -92.306059                                                                                   
IA      19015   00465197        Boone County    26306   11756   1480356844      5364798      571.569           2.071     42.038601       -93.939138                                                                                          
IA      19017   00465198        Bremer County   24276   9915    1127880105      10171939             435.477           3.927     42.780890       -92.327586                                                                                         
IA      19019   00465199        Buchanan County 20958   8968    1478934897      5427652      571.020           2.096     42.470328       -91.838666                                                                                        
IA      19021   00465200        Buena Vista County      20260   8237    1489022575      13758158             574.915           5.312     42.741522       -95.141433                                                                                    
IA      19023   00465201        Butler County   14867   6682    1502533262      4209738      580.131           1.625     42.734708       -92.780066                                                                                          
IA      19025   00465202        Calhoun County  9670    5108    1476209027      5560503      569.968           2.147     42.386170       -94.643683                                                                                          
IA      19027   00465203        Carroll County  20816   9376    1474835105      2145362      569.437           0.828     42.039492       -94.867647                                                                                         
IA      19029   00465204        Cass County     13956   6591    1461450856      1758815      564.269           0.679     41.333824       -94.933302                                                                                            
IA      19031   00465205        Cedar County    18499   8064    1500731293      6385840      579.436           2.466     41.772355       -91.132190                                                                                           
IA      19033   00465206        Cerro Gordo County      44151   22163   1471923432      17626527             568.313           6.806     43.075171       -93.251266                                                                                   
IA      19035   00465207        Cherokee County 12072   5777    1494180371      423187       576.906           0.163     42.742738       -95.633262                                                                                         
IA      19037   00465208        Chickasaw County        12439   5679    1306338733      3309332      504.380           1.278     43.059741       -92.317210                                                                                       
IA      19039   00465209        Clarke County   9286    4086    1116716080      1524746      431.167           0.589     41.029191       -93.784096                                                                                           
IA      19041   00465625        Clay County     16667   8062    1469139214      13866941             567.238           5.354     43.079822       -95.149726                                                                                           
IA      19043   00465210        Clayton County  18129   8999    2016405612      36586071             778.539          14.126     42.840998       -91.323511                                                                                        
IA      19045   00465211        Clinton County  49116   21733   1799821282      39523759             694.915          15.260     41.898073       -90.534243                                                                                       
IA      19047   00465212        Crawford County 17096   6943    1849742893      2194275      714.190           0.847     42.043119       -95.389090                                                                                        
IA      19049   00465213        Dallas County   66135   27260   1524070766      8421379      588.447           3.252     41.685321       -94.040707                                                                                         
IA      19051   00465214        Davis County    8753    3600    1300661956      6904100      502.188           2.666     40.748089       -92.410345                                                                                            
IA      19053   00465215        Decatur County  8457    3834    1377566066      4142102      531.881           1.599     40.736379       -93.784580                                                                                          
IA      19055   00465216        Delaware County 17764   8028    1496381153      3082496      577.756           1.190     42.473003       -91.359442                                                                                        
IA      19057   00465217        Des Moines County       40325   18535   1077754850      35294123             416.123          13.627     40.915339       -91.186925                                                                                    
IA      19059   00465218        Dickinson County        16667   12849   985764366       60490800             380.606          23.356     43.389611       -95.196057                                                                                      
IA      19061   00465219        Dubuque County  93653   38951   1575501687      21569071             608.305           8.328     42.463481       -90.878771                                                                                       
IA      19063   00465220        Emmet County    10302   4758    1025333118      17196398             395.883           6.640     43.377984       -94.669370                                                                                          
IA      19065   00465221        Fayette County  20880   9558    1892791345      1334074      730.811           0.515     42.864450       -91.839373                                                                                         
IA      19067   00465222        Floyd County    16303   7526    1296631086      1942569      500.632           0.750     43.052741       -92.787367                                                                                           
IA      19069   00465223        Franklin County 10680   4894    1507301318      1428932      581.972           0.552     42.736549       -93.271425                                                                                        
IA      19071   00465224        Fremont County  7441    3431    1323872918      14214133             511.150           5.488     40.743726       -95.599516                                                                                         
IA      19073   00465225        Greene County   9336    4546    1475188829      4249897      569.574           1.641     42.042494       -94.388703                                                                                           
IA      19075   00465226        Grundy County   12453   5530    1299805924      94406        501.858           0.036     42.403323       -92.790261                                                                                            
IA      19077   00465227        Guthrie County  10954   5756    1529699184      6355537      590.620           2.454     41.683573       -94.501272                                                                                         
IA      19079   00465228        Hamilton County 15673   7219    1493777716      1965344      576.751           0.759     42.390768       -93.709198                                                                                        
IA      19081   00465229        Hancock County  11341   5330    1478894985      5265572      571.005           2.033     43.075411       -93.743697                                                                                         
IA      19083   00465230        Hardin County   17534   8224    1474498672      1773894      569.307           0.685     42.389955       -93.241081                                                                                          
IA      19085   00465231        Harrison County 14928   6731    1804827800      12417759             696.848           4.795     41.688584       -95.827149                                                                                       
IA      19087   00465232        Henry County    20145   8280    1124904348      5780284      434.328           2.232     40.985864       -91.544270                                                                                           
IA      19089   00465233        Howard County   9566    4367    1225706425      927963       473.248           0.358     43.365312       -92.321908                                                                                            
IA      19091   00465234        Humboldt County 9815    4684    1124967281      3406139      434.352           1.315     42.782221       -94.202775                                                                                         
IA      19093   00465235        Ida County      7089    3426    1117599646      1406468      431.508           0.543     42.391860       -95.507421                                                                                              
IA      19095   00465236        Iowa County     16355   7258    1518916014      2686847      586.457           1.037     41.683918       -92.059123                                                                                            
IA      19097   00465237        Jackson County  19848   9415    1647332960      35141529             636.039          13.568     42.164281       -90.574596                                                                                        
IA      19099   00465238        Jasper County   36842   16181   1891779160      6565706      730.420           2.535     41.685686       -93.052971                                                                                         
IA      19101   00465239        Jefferson County        16843   7594    1127964789      3538407      435.510           1.366     41.006880       -91.967137                                                                                       
IA      19103   00465240        Johnson County  130882  55967   1590355537      23595204             614.040           9.110     41.668736       -91.588812                                                                                      
IA      19105   00465241        Jones County    20638   8911    1490851138      3582593      575.621           1.383     42.125118       -91.116914                                                                                           
IA      19107   00465242        Keokuk County   10511   4931    1500067240      1929331      579.179           0.745     41.331182       -92.167721                                                                                          
IA      19109   00465243        Kossuth County  15543   7486    2519332852      4154729      972.720           1.604     43.212478       -94.213983                                                                                         
IA      19111   00465244        Lee County      35862   16205   1340366450      55293745             517.518          21.349     40.647588       -91.477157                                                                                           
IA      19113   00465245        Linn County     211226  92251   1856710588      19748575             716.880           7.625     42.077951       -91.597674                                                                                         
IA      19115   00465246        Louisa County   11387   5002    1040569636      40798459             401.766          15.752     41.218211       -91.256994                                                                                         
IA      19117   00465247        Lucas County    8898    4238    1115231642      9852849      430.593           3.804     41.033344       -93.331467                                                                                            
IA      19119   00465248        Lyon County     11581   4848    1522007130      334472       587.650           0.129     43.383580       -96.207201                                                                                             
IA      19121   00465249        Madison County  15679   6554    1452999410      2983842      561.006           1.152     41.330622       -94.015184                                                                                         
IA      19123   00465250        Mahaska County  22381   9766    1478527687      6564800      570.863           2.535     41.330797       -92.636366                                                                                         
IA      19125   00465251        Marion County   33309   13914   1436237259      41374638             554.534          15.975     41.331455       -93.093849                                                                                        
IA      19127   00465252        Marshall County 40648   16831   1482770678      1803086      572.501           0.696     42.041691       -92.981452                                                                                       
IA      19129   00465253        Mills County    15059   6109    1132956394      8306523      437.437           3.207     41.033703       -95.619101                                                                                           
IA      19131   00465254        Mitchell County 10776   4850    1215049026      1118418      469.133           0.432     43.348564       -92.784466                                                                                        
IA      19133   00465255        Monona County   9243    4697    1797638295      12591879             694.072           4.862     42.049432       -95.956566                                                                                          
IA      19135   00465256        Monroe County   7970    3884    1123316981      1522806      433.715           0.588     41.028847       -92.869642                                                                                           
IA      19137   00465257        Montgomery County       10740   5239    1098405666      2410460      424.097           0.931     41.021735       -95.157790                                                                                      
IA      19139   00465258        Muscatine County        42745   17910   1133040484      30198875             437.469          11.660     41.483776       -91.118699                                                                                     
IA      19141   00465259        O'Brien County  14398   6649    1484154091      447448       573.035           0.173     43.083746       -95.625624                                                                                          
IA      19143   00465260        Osceola County  6462    2990    1032587437      1835265      398.684           0.709     43.378542       -95.633788                                                                                          
IA      19145   00465261        Page County     15932   7181    1385494422      1359125      534.942           0.525     40.739090       -95.144290                                                                                            
IA      19147   00465262        Palo Alto County        9421    4628    1460349241      14480046             563.844           5.591     43.075854       -94.667296                                                                                       
IA      19149   00465263        Plymouth County 24986   10550   2234881736      2177308      862.893           0.841     42.737585       -96.215864                                                                                       
IA      19151   00465264        Pocahontas County       7310    3794    1495047042      3666526      577.241           1.416     42.734033       -94.678279                                                                                       
IA      19153   00465265        Polk County     430640  182262  1486121332      45945876             573.795          17.740     41.684281       -93.569720                                                                                        
IA      19155   00465266        Pottawattamie County    93158   39330   2461213949      22925740             950.280           8.852     41.340184       -95.544905                                                                                 
IA      19157   00465267        Poweshiek County        18914   8949    1514967877      2939136      584.932           1.135     41.684526       -92.522882                                                                                       
IA      19159   00465268        Ringgold County 5131    2613    1386933932      8721518      535.498           3.367     40.735334       -94.244251                                                                                         
IA      19161   00465269        Sac County      10350   5429    1489272900      8596902      575.012           3.319     42.387526       -95.105224                                                                                             
IA      19163   00465270        Scott County    165224  71835   1186444226      26215864             458.089          10.122     41.641679       -90.622290                                                                                        
IA      19165   00465271        Shelby County   12167   5542    1530110414      1486135      590.779           0.574     41.679014       -95.308917                                                                                          
IA      19167   00465272        Sioux County    33704   12279   1989969635      1707495      768.332           0.659     43.082854       -96.177929                                                                                          
IA      19169   00465273        Story County    89542   36789   1483592867      2152172      572.818           0.831     42.037538       -93.466093                                                                                          
IA      19171   00465274        Tama County     17767   7766    1867411117      2769451      721.011           1.069     42.074848       -92.529411                                                                                            
IA      19173   00465275        Taylor County   6317    3107    1377618597      7133648      531.902           2.754     40.737949       -94.697108                                                                                           
IA      19175   00465276        Union County    12534   5937    1097235730      5575916      423.645           2.153     41.028550       -94.245091                                                                                           
IA      19177   00465277        Van Buren County        7570    3670    1255597645      14839903             484.789           5.730     40.754117       -91.952943                                                                                       
IA      19179   00465278        Wapello County  35625   16098   1118443326      10846138             431.833           4.188     41.031263       -92.409482                                                                                       
IA      19181   00465279        Warren County   46225   18371   1475844938      9125380      569.827           3.523     41.336769       -93.564366                                                                                         
IA      19183   00465280        Washington County       21704   9516    1473276393      5399692      568.835           2.085     41.329401       -91.725052                                                                                      
IA      19185   00465281        Wayne County    6403    3212    1360874542      4441137      525.437           1.715     40.739983       -93.332613                                                                                            
IA      19187   00465282        Webster County  38013   17035   1853443769      7277623      715.619           2.810     42.434397       -94.179156                                                                                        
IA      19189   00465283        Winnebago County        10866   5194    1037261544      3182052      400.489           1.229     43.378124       -93.743488                                                                                       
IA      19191   00465284        Winneshiek County       21056   8721    1786750121      698598       689.868           0.270     43.292989       -91.850788                                                                                       
IA      19193   00465285        Woodbury County 102172  41484   2260629616      12793293             872.834           4.940     42.393220       -96.053296                                                                                     
IA      19195   00465286        Worth County    7598    3548    1036314948      4709127      400.123           1.818     43.373491       -93.248533                                                                                            
IA      19197   00465287        Wright County   13229   6529    1503286817      4703964      580.422           1.816     42.733007       -93.734735                                                                                          
